Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Victorian Rail Track,2017,qtr 4 2021-22,0,435000000,,Regional Rail Revival - Gippsland Rail Upgrade (regional various),New,Transport,435000000
Victorian Rail Track,2017,qtr 4 2019-20,4000000,128000000,,City Loop fire and safety upgrade (stage 2) and intruder alarm (Melbourne),Existing,Transport,133000000
Victorian Rail Track,2017,qtr 3 2018-19,4000000,284000000,,More regional trains (regional various),New,Transport,288000000
Victorian Rail Track,2017,qtr 4 2018-19,25000000,111000000,,Hurstbridge rail line upgrade (regional various),Existing,Transport,136000000
Victorian Rail Track,2017,qtr 4 2019-20,28000000,489000000,,Ballarat Line upgrade (regional various),Existing,Transport,517000000
Victorian Rail Track,2017,qtr 4 2018-19,44000000,56000000,,Flinders Street Station Redevelopment (Melbourne),Existing,Transport,100000000
Victorian Rail Track,2017,qtr 4 2018-19,63000000,112000000,,Nine additional X'Trapolis trains (statewide),New,Transport,175000000
Victorian Rail Track,2017,qtr 2 2019-20,76000000,219000000,The estimated project completion date reflects the revised scope of the project in line with the network development strategy.,New E-Class trams (metropolitan various),Existing,Transport,295000000
Victorian Rail Track,2017,qtr 4 2019-20,77000000,152000000,,More regional trains (regional various),Existing,Transport,229000000
Victorian Rail Track,2017,qtr 2 2018-19,80000000,346000000,"TEI increase due to addition of Commonwealth funding of $220.000 million. Stage 1 of the project is completed, with stage 2 and 3 in procurement. The completion date has been revised following the approval of Commonwealth funding.",Murray Basin Rail Project (regional various),Existing,Transport,427000000
Victorian Rail Track,2017,qtr 4 2017-18,110000000,5000000,The project completion date has been revised to include the additional scope of the X'Trapolis Train Maintenance facility at Newport with completion expected in 2017-18.,Bayside rail improvements (metropolitan various),Existing,Transport,115000000
Victorian Rail Track,2017,qtr 1 2018-19,131000000,126000000,,New VLocity carriages for the regional network (regional various),Existing,Transport,257000000
Victorian Rail Track,2017,qtr 4 2018-19,150000000,447000000,TEI increase of $9.000 million reflects project development funding provided in the 2015-16 Budget. The completion date reflects the scheduled program of works after the award of the contract in November 2016.,Mernda rail extension project (Mernda),Existing,Transport,597000000
Victorian Rail Track,2017,qtr 4 2021-22,247000000,453000000,"TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2015-16 to 2020-21. As this is a rolling program of works, the TEI varies from year to year.",Metropolitan rail infrastructure renewal program (metropolitan various),Existing,Transport,700000000
Victorian Rail Track,2017,qtr 2 2018-19,305000000,303000000,Caulfield to Dandenong conventional signalling and power infrastructure upgrade (metropolitan various) TEI incorporates $248.281 million for power and associated infrastructure works initially reported as part of High-capacity metro trains.  The publication title is updated since 2016-17 Budget Paper No. 4.,Caulfield to Dandenong conventional signalling and power infrastructure upgrade (metropolitan various),Existing,Transport,608000000
Victorian Rail Track,2017,qtr 2 2018-19,674000000,131000000,The project completion date has been revised to reflect the impact of the unavailability of suitable land to support the tram traction power upgrade project.,Tram procurement and supporting infrastructure (metropolitan various),Existing,Transport,804000000
Victorian Rail Track,2017,qtr 4 2025-26,929000000,10102000000,TEI has increased by $131.000 million due to a change in project scope. This includes a reallocation of the High Capacity Signalling Trial (HCST) funding provided in the 2015-16 Budget to support HCS implementation on the Metro Tunnel project.,Metro Tunnel (metropolitan various),Existing,Transport,11031000000
Department of Education,2018,qtr 3 2019-20,253000000,0,,Trade training centres - government schools (statewide),Completed,Education and Training,253000000
"Department of Environment, Energy and Climate Action",2018,qtr 2 2053-54,27000000,303000000,The TEI has been revised from $334.300 million to $330.900 million. The decrease is the result of $3.400 million reclassified to output.,Melbourne strategic assessment (metropolitan various),Existing,Environment,331000000
Department of Health,2018,qtr 4 2022-23,0,115000000,,Wonthaggi Hospital expansion (Wonthaggi),New,Health and human services,115000000
Department of Health,2018,qtr 4 2020-21,0,124000000,,Electronic medical records in Parkville,New,Health and human services,124000000
Department of Health,2018,qtr 4 2025-26,0,462000000,,Ballarat Base Hospital expansion and redevelopment (Ballarat),New,Health and human services,462000000
Department of Health,2018,qtr 4 2020-21,2000000,160000000,,Northern Hospital inpatient expansion - Stage 2 (Epping),Existing,Health and human services,163000000
Department of Health,2018,qtr 2 2022-23,13000000,530000000,TEI includes contributions from Monash University of $65.000 million and funding provided in 2017‑18 and in the 2017-18 Budget. The estimated completion date has been revised to reflect the final project scope and timelines approved by Government.,Victorian Heart Hospital (Clayton),Existing,Health and human services,543000000
Department of Health,2018,qtr 4 2020-21,19000000,152000000,Additional funding of $1.709 million was provided in 2017-18 through internal prioritisation.,Goulburn Valley Health redevelopment - planning and development (Shepparton),Existing,Health and human services,171000000
Department of Health,2018,qtr 4 2019-20,59000000,81000000,,Casey Hospital Expansion (Berwick),Existing,Health and human services,140000000
Department of Health,2018,qtr 4 2019-20,102000000,98000000,,Joan Kirner Women's and Children's Hospital (St Albans),Existing,Health and human services,200000000
Department of Health,2018,qtr 2 2018-19,113000000,6000000,The estimated completion date has been revised to reflect project delivery and cashflows approved by Government.,Geelong Hospital - major upgrade (Geelong),Existing,Health and human services,118000000
Department of Health,2018,qtr 2 2019-20,156000000,45000000,The estimated completion date has been revised to reflect project delivery and cashflows approved by Government.,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,201000000
Department of Health,2018,qtr 4 2018-19,270000000,2000000,,Monash Children's Hospital (Clayton),Completed,Health and human services,272000000
"Department of Jobs, Skills, Industry and Regions",2018,qtr 2 2022-23,0,139000000,This is the Victorian Government's share of the Geelong City Deal. This initiative is listed as a whole of government initiative in Budget Paper No. 3.,Geelong City Deal (Geelong),New,"Culture, sport and community",139000000
"Department of Jobs, Skills, Industry and Regions",2018,qtr 4 2017-18,169000000,0,The estimated completion date has been revised. TEI reflects the state capital construction component only.,Melbourne Exhibition Centre - stage 2 development (Southbank),Existing,"Culture, sport and community",169000000
Department of Justice and Community Safety,2018,qtr 4 2021-22,10000000,679000000,,Lara Prison precinct expansion (Bacchus Marsh),New,Justice and emergency services,689000000
Department of Justice and Community Safety,2018,qtr 4 2020-21,17000000,261000000,TEI has reduced due to $10.291 million having been transferred to output funding for this initiative.,New youth justice facility (Cherry Creek),Existing,Justice and emergency services,278000000
Department of Justice and Community Safety,2018,qtr 4 2017-18,19000000,0,The project is now complete following the decision to reallocate remaining scope and associated funding to the Women's prison capacity strategy (TEI of $33.800 million) and the Prison Capacity Expansion Project (TEI of $30.100 million).,Corrections system expansion (statewide),Completed,Justice and emergency services,19000000
Department of Justice and Community Safety,2018,various,39000000,323000000,TEI has reduced due to $27.700 million having been redirected to output funding to correctly reflect the expenditure for the BlueConnect project. A number of components were initially planned to be purchased (capital expenditure) but have been changed to a lease arrangement (output expenditure). Cash flow has been revised in line with project schedule. Cash flow has been revised in line with project schedule.,Community Safety Statement (statewide),Existing,Justice and emergency services,363000000
Department of Justice and Community Safety,2018,qtr 4 2019-20,51000000,93000000,"TEI includes $30.100 million from the Corrections System Expansion, $6.800 million from Corrections Remand upgrade and $0.750 million from Corrections Annual Provisions.",Prison capacity expansion (Melbourne),New,Justice and emergency services,143000000
Department of Justice and Community Safety,2018,various,79000000,43000000,"TEI has reduced due to $17.710 million having been redirected to output funding for the Intelligence Capability project and $1.900 million having been redirected from output funding for the Mobile Technology Rollout project to correctly reflect the nature of the expenditure. Cash flow has been revised in line with project schedule. The estimated completion dates for the major components are: Intelligence Capability (quarter 4, 2018-19), Mobile Technology (quarter 4, 2018-19), Specialist Equipment (quarter 1, 2018-19) and Body Worn Cameras (quarter 4, 2018-19).",Public Safety - Police Response (statewide),Existing,Justice and emergency services,122000000
